"key : mean","+","a","b","c","d","e","f" 
"domain-controller-a.variable-costs-financial",-1.67e+02,-3.01e+02,-1.93e+02,-2.27e+02,-2.69e+02,-3.26e+02,-1.67e+02
"domain-controller-a.fixed-costs-financial",+3.23e+03,+3.23e+03,+3.23e+03,+3.23e+03,+3.23e+03,+3.23e+03,+3.23e+03
"domain-controller-a.subtotal-financial",+1.42e+06,+1.42e+06,+1.42e+06,+1.42e+06,+1.42e+06,+1.42e+06,+1.42e+06
"domain-controller-a.subtotal-greenhouse",+1.37e-01,+1.37e-01,+1.37e-01,+1.37e-01,+1.37e-01,+1.37e-01,+1.37e-01
"domain-controller-a.subtotal-nox",+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00
"domain-controller-a.subtotal-depletion",+1.37e-01,+1.37e-01,+1.37e-01,+1.37e-01,+1.37e-01,+1.37e-01,+1.37e-01
"domain-controller-a.subtotal-landuse",+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00
"domain-controller-b.variable-costs-financial",+8.71e+05,+8.71e+05,+8.71e+05,+8.71e+05,+8.71e+05,+8.71e+05,+8.71e+05
"domain-controller-b.fixed-costs-financial",+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00
"domain-controller-b.subtotal-financial",+1.05e+07,+1.05e+07,+1.05e+07,+1.05e+07,+1.05e+07,+1.05e+07,+1.05e+07
"domain-controller-b.subtotal-greenhouse",+9.94e+05,+9.94e+05,+9.94e+05,+9.94e+05,+9.94e+05,+9.94e+05,+9.94e+05
"domain-controller-b.subtotal-nox",+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00
"domain-controller-b.subtotal-depletion",+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00
"domain-controller-b.subtotal-landuse",+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00
"domain-controller-c.variable-costs-financial",-1.44e+02,-1.44e+02,-1.44e+02,-1.44e+02,-1.44e+02,,-1.44e+02
"domain-controller-c.fixed-costs-financial",+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,+0.00e+00,,+0.00e+00
